internship_title,company_name,location,start_date,duration,stipend
Telecalling & Administration,Safe2Go Digisolutions Private Limited,Jaipur,Immediately,3 Months,"10,000"
Furniture/Product Design,The Wood Shaping Company,Jaipur,Immediately,3 Months,"5,000"
Inside Sales,RankItRight Media,Bangalore,Immediately,3 Months,"20,000"
Business Development (Sales),Avataryug,Mumbai,Immediately,3 Months,"10,000"
Video Making/Editing,Stax Media,Delhi,Immediately,3 Months,"10,000"
Growth (Marketing),Amigobulls,Bangalore,Immediately,3 Months,"8,000"
Corporate Sales,Blue Rose Publishers,Delhi,Immediately,3 Months,"22,000"
Travel Research And Data Entry,Yuyiii Stays And Travels Private Limited,Bangalore,Immediately,3 Months,"6,000"
Marketing,DBG TECH SOLUTIONS,Mumbai,Immediately,3 Months,"8,000"
Sales executive,Ilahi Travels Experiences Pvt. Ltd.,Delhi,Immediately,3 Months,"10,000"
Teaching (Python/Java/C++/Kotlin/Go/Javascript/Swift/Scala/Ruby),SR University,Warangal,Not specified,3 Months,"20,000"
Coordination,National Centre For The Performing Arts,Mumbai,Immediately,3 Months,"17,000"
Admission Counseling,DGguru Learning Solutions Private Limited (MentorKart),Noida,Immediately,3 Months,"15,000"
E-Commerce Marketing,A Big Indian Story,Pune,Immediately,3 Months,"10,000"
Influencer Marketing,Confluencr,Bangalore,Immediately,3 Months,"10,000"
Graphic Design,GoMechanic,Gurgaon,Immediately,3 Months,"10,000"
Video Making/Editing,GoMechanic,Gurgaon,Immediately,3 Months,"10,000"
Graphic Design,Stax Media,Delhi,Immediately,3 Months,"7,000"
Digital Marketing,CHALKSNBOARD Private Limited,Gurgaon,Immediately,3 Months,"5,000"
Customer Support,IB Cricket,Hyderabad,Immediately,3 Months,"15,000"
Digital Marketing,Shi-Liv Co-living,Bangalore,Immediately,3 Months,"5,000"
Content Development (English),Hunt Digital Media,Work From Home,Immediately,3 Months,"5,000"
Probability,Digipplus,Work From Home,Immediately,3 Months,"25,000"
Video Making/Editing,Hunt Digital Media,Work From Home,Immediately,3 Months,"5,000"
Java Development,FynTune Solution Private Limited,Navi Mumbai,Immediately,3 Months,"15,000"
Credit Analytics,Ambient Consultancy,Mumbai,Immediately,3 Months,"10,000"
Trainer (Teaching VLSI Front-end Designing Or VLSI Back-end Designing Course),SURE Trust,Work From Home,Immediately,3 Months,
Fundraising/Crowdfunding,NayePankh Foundation,Work From Home,Immediately,3 Months,
Fundraising/Crowdfunding,NayePankh Foundation,Work From Home,Immediately,3 Months,
Psychology ( Marketing),HappiMynd,Work From Home,Immediately,3 Months,"1,000"
Event Management,Tech Analogy,Work From Home,Immediately,3 Months,"1,000"
Graphic Design,Creatiwise,Work From Home,Immediately,6 Months,"15,000"
Product Management,HappiMynd,Work From Home,Immediately,6 Months,"2,000"
Graphic Design,Creatiwise,Work From Home,Immediately,6 Months,"15,000"
Social Work,NayePankh Foundation,Work From Home,Immediately,6 Months,
IPad Art,Lawtech,Work From Home,Immediately,6 Months,"8,000"
Torchbearer Impact Program,HappiMynd,Work From Home,Immediately,6 Months,"1,000"
Technical Architecture,"EmendoAI (San Francisco, United States)",Work From Home,Immediately,6 Months,"20,000"
